Material,ID, params
Si,1002,siband;matsci;pbc;hyb;magsil;PTBP
SiC,8118,matsci;pbc;PTBP
,8158
,107
SiO2,41,siband;matsci;pbc;magsil;PTBP
,34674
GaAs,1174,hyb;PTBP
Cu,867,matsci;PTBP
Al,816,matsci;PTBP
Ti,1029,matsci;tiorg;trans3d;PTBP
C,91,matsci;auorg;halorg;hyb;mio;pbc;tiorg;trans3d;znorg;PTBP
Au,815,auorg;PTBP
AlP,1327,matsci;PTBP
ZnO,1195,znorg;PTBP
ZrO2,113,dftb2;PTBP
Al2O3,32,matsci;PTBP
