Material,JV#,Eg_matsci,Eg_PBC,Eg_PTBP,Eg_TB3PY,Eg_DFT,a(/c)_matsci,a(/c)_PBC,a(/c)_PTBP,a(/c)_TB3PY,a(/c)_DFT,bulk mod_matsci,bulk mod_PBC,bulk mod_PTBP,bulk mod_TB3PY,bulk mod_DFT,Maxdiff_matsci,Maxdiff_PBC,Maxdiff_PTBP,Maxdiff_TB3PY
Cu,867,-,-,-,-,-,2.56,-,Ê2.56,Ê2.56,Ê2.56,68.814,-,42.35,34.49,141.4,3.94,-,3.78,3.74
Al,816,-,-,-,-,-,2.88,-,2.88,2.88,2.88,34.735,-,31.05,16.53,69.93,3.51,-,3.37,3.14
Ti,1029,-,-,-,-,-,-,-,4.55/2.82,4.55/2.82,4.55/2.82,-,-,24.68,18.66,115.17,-,-,1.67,0.4
Au,825,-,-,-,-,-,-,-,2.94,2.94,2.94,-,-,40.2,28.93,148.6,-,-,3.55,4.16
GaAs,1174,-,-,0.42,0.23,0.05,-,-,4.05,4.05,4.05,-,-,22.45,13.92,61.93,-,-,4.13,1.3
Si,1002,1.82,1.23,0.81,0.91,0.66,3.88,3.88,3.88,3.88,3.88,89.411,16.61,14.42,10.29,87.27,5.43,4.07,4.63,4.54
ZnO,1195,-,-,1.63,1.4,0.88,-,-,3.27/5.29,3.27/5.29,3.27/5.29,-,-,29.91,26.84,137.33,-,-,3.78,1.79
SiC,8118,2.93,5.11,2.2,3.75,2.33,3.1/5.09,3.1/5.09,3.1/5.09,3.1/5.09,3.1/5.09,36.71,48.11,31.99,26.94,213.53,5.56,5.3,5.53,6.58
,8158,2.18,5.64,1.53,2.76,1.46,3.1,3.1,3.1,3.1,3.1,33.03,1,29.04,26.21,212.77,5.85,5.47,4.79,5.37
,107,2.78,5.79,"2,1",3.73,2.32,3.1/10.15,3.1/10.15,3.1/10.15,3.1/10.15,3.1/10.15,36.681,47.02,31.17,26.75,213.34,4.63,5.16,4.78,5.54
AlP,1327,2.25,-,1.68,2.84,1.63,3.9,-,3.9,3.9,3.9,15.12,-,19.93,12.02,83.37,5.94,-,5.36,3.95
ZrO2,113,-,-,3,-,3.64,-,-,5.17/5.34,5.17/5.34,5.17/5.34,-,-,33.45,100.43,187.44,-,-,4.34,-
C,91,7.69,6.87,7.23,4.83,4.37,2.53,2.53,2.53,2.53,2.53,81.05,88.18,75.18,70.13,437.4,6.95,7.2,7.29,5.98
SiO2,41,8.76,9.18,6.47,6.44,5.97,4.94/5.45,4.94/5.45,4.94/5.45,4.94/5.45,4.94/5.45,8.747,11.44,8.18,22.39,39.41,7.52,7.89,6.34,6.24
,34674,8.11,9.46,6.92,6.85,5.67,4.776/5.881,4.78/5.88,4.78/5.88,4.78/5.88,5.88/4.78,13.337,5.387,4.35,22.42,41.54,7.34,8.05,6.77,6.61
Al2O3,32,9.79,-,5.15,-,6.43,5.17,-,5.17,5.17,5.17,141.643,-,24.57,731.43,241.28,5.52,-,3.42,-
MAE,,1.72,2.93,0.73,0.84,,0,0,0,0,0,111.48,146.79,123.05,138.98,,5.65,6.16,4.6,4.24
